Title,Service_Type,Rating,Description,More_Info_Link,Source_URL,Scrape_Timestamp
Register as buyer with Agricultural Marketing Information System of Karnataka,Fully Online,3.0,"Register online as a buyer with the Online Agricultural Marketing Information System of the Department of Agricultural Marketing and Karnataka State Agricultural Marketing Board (KSAMB). A buyer can register with details such as name, address, phone numbers, commodity interested and commodity required.",https://services.india.gov.in/service/detail/register-as-buyer-with-agricultural-marketing-information-system-of-karnataka,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
"Soil and Water Testing Laboratory by Krishi Vigyan Kendra in Jaipur, Rajasthan",Informational,4.0,Soil and Water Testing Laboratory is established in 1998 with Macro & Micro soil nutrient analysis facilities. The minimum charges is Rs. 10/- per sample for soil & water testing and charging of Rs. 25/- per sample for Micro Nutrient Analysis. The complete testing report is being provided with advice for recommendation of fertilizer doses for next crops.,https://services.india.gov.in/service/detail/soil-and-water-testing-laboratory-by-krishi-vigyan-kendra-in-jaipur-rajasthan,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
Check Market Reports of Agricultural Commodity of Karnataka,Fully Online,3.0,"Check marketing reports of agricultural commodities of Karnataka provided by the Agricultural Marketing Department. Users can check the reports for daily, weekly, monthly, periodically, state level wise and market-wise rates. Reports as per the latest prices, commodities, weeks etc. are also provided.",https://services.india.gov.in/service/detail/check-market-reports-of-agricultural-commodity-of-karnataka-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
Search Details of Agriculture Market Infrastructure of Karnataka,Informational,3.0,"Search details of agriculture market infrastructure of Karnataka. One needs to select the name of market to find details such as name, phone numbers, email, population served, geographical area served by the market etc. Administrative details of markets are available. Users can also find information such as rail or road connectivity, market area, arrival and dispatches etc.",https://services.india.gov.in/service/detail/search-details-of-agriculture-market-infrastructure-of-karnataka-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
Check Details of Agricultural Markets of Karnataka,Informational,4.0,"Check details of agricultural markets in Karnataka provided by the Department of Agricultural Marketing and Karnataka State Agricultural Marketing Board (KSAMB). One needs to click on the market link to get information such as market name, address, phone numbers etc.",https://services.india.gov.in/service/detail/check-details-of-agricultural-markets-of-karnataka,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
Check Year-Wise Minimum Support Prices of Agricultural Commodities in Karnataka,Informational,3.0,"Check year-wise prices of various agricultural commodities in Karnataka. Details such as the commodity name, variety, support prices are provided by the Department of Agricultural Marketing and Karnataka State Agricultural Marketing Board (KSAMB).",https://services.india.gov.in/service/detail/check-year-wise-minimum-support-prices-of-agricultural-commodities-in-karnataka-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
mKisan SMS Portal for farmers,Fully Online,3.75,"mKisan SMS Portal for farmers enables all Central and State government organizations in agriculture and allied sectors to give information/services/advisories to farmers by SMS in their language, preference of agricultural practices and location. Users can get information on the Push SMS, Pull SMS, services, IVRS, mobile apps, etc. You can also register for SMS services.",https://services.india.gov.in/service/detail/mkisan-sms-portal-for-farmers-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
Check prices and arrivals of agricultural commodities,Fully Online,3.0,"Check online prices and arrivals of agricultural commodities in different markets. Users can get the commodity wise daily reports, market wise daily reports, daily reports for specific commodity, commodity and market wise daily reports of states etc.",https://services.india.gov.in/service/detail/check-prices-and-arrivals-of-agricultural-commodities,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
Check statistical and analytical reports on agriculture commodity prices,Fully Online,3.0,"Check analytical and statistical reports on prices of agriculture commodities as provided by the Department of Agriculture and Cooperation (DACNET). Users can find reports of states, districts, market wise reports for commodity prices etc. Daily market arrival and price trends for top states and metros are also available.",https://services.india.gov.in/service/detail/check-statistical-and-analytical-reports-on-agriculture-commodity-prices-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
"Agriculture Land Value Certificate Application, Gujarat",Fully Online,3.9,Citizen can check land value rates online.,https://services.india.gov.in/service/detail/agriculture-land-value-certificate-application-gujarat,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=2,2025-02-17 13:11:49
Complete e-KYC for Pradhan Mantri Kisan Samman Nidhi PM-Kisan,Fully Online,3.05,"The e-KYC service is essential for verifying the identity of beneficiaries under the PM-Kisan scheme. Farmers can complete their Know Your Customer (KYC) process online, ensuring that they meet the eligibility criteria and receive timely disbursements of the financial aid.",https://services.india.gov.in/service/detail/complete-e-kyc-for-pradhan-mantri-kisan-samman-nidhi-pm-kisan,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:02
Check the Status of Your Pradhan Mantri Kisan Samman Nidhi PM-Kisan Application,Fully Online,2.9,"This service enables farmers to check the status of their applications for the PM-Kisan scheme. By entering their registration details, applicants can track the progress of their submissions and verify if they have been approved to receive the financial benefits.",https://services.india.gov.in/service/detail/check-the-status-of-your-pradhan-mantri-kisan-samman-nidhi-pm-kisan-application,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:02
Register as a New Farmer for Pradhan Mantri Kisan Samman Nidhi PM-Kisan,Fully Online,3.65,"Farmers may register for the PM-Kisan Samman Nidhi scheme. By providing necessary details, farmers can apply to receive financial support from the government, aimed at ensuring their economic stability and encouraging agricultural productivity.",https://services.india.gov.in/service/detail/register-as-a-new-farmer-for-pradhan-mantri-kisan-samman-nidhi-pm-kisan,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
Pradhan Mantri Kisan Samman Nidhi PM-Kisan Services,Fully Online,3.8,"The PM-KISAN scheme aims to supplement the financial needs of the Small and Marginal farmers (SMFs) in procuring various inputs to ensure proper crop health and appropriate yields, commensurate with the anticipated farm income at the end of the each crop cycle. This would also protect them from falling in the clutches of moneylenders for meeting such expenses and ensure their continuance in the farming activities. Under the Scheme, a direct payment of Rs. 6000 per year will be transferred in three equal installments of Rs. 2000 each every four months into the Aadhar ceded bank accounts of eligible landholding SMFs families.",https://services.india.gov.in/service/detail/pradhan-mantri-kisan-samman-nidhi-pm-kisan-services,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
Online Crop Insurance (NAIS) Application,Partially Online,2.9,"Allows landowners to submit applications for crop insurance online, facilitating interaction with banks and insurance agencies in a paperless process.",https://services.india.gov.in/service/detail/online-crop-insurance-nais-application-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
Web Based Fertilizer Distribution and Movement System,Fully Online,4.0,Get information of Traffic system for the distribution of seeds by the Department Of Fertilizers.You can get information on requirement and application procedure.,https://services.india.gov.in/service/detail/web-based-fertilizer-distribution-and-movement-system-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
Check application status for Agmark Certification Programme,Fully Online,3.0,"Check application status of parties for the Agmark Certification Programme. Users can check the status of new applications by selecting the application type, location of regional office where application is submitted and year of submission. Report of renewal of applications can also be checked.",https://services.india.gov.in/service/detail/check-application-status-for-agmark-certification-programme,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
Check market wise daily reports of specific agriculture commodity,Fully Online,3.0,"Check market-wise daily reports of specific agriculture commodity. You need to select a commodity group, commodity name, month, year, date to check the agriculture reports of specific commodities.",https://services.india.gov.in/service/detail/check-market-wise-daily-reports-of-specific-agriculture-commodity,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
Check agriculture commodity and market wise daily reports,Fully Online,4.0,"Check agriculture commodity and market wise daily reports provided on the Agmarknet (Agriculture Marketing Information System Network) of Directorate of Marketing and Inspection (DMI). Users have to select year, month and date for which details are required. They then have to select the commodity for which information is required. The information thus received can be exported to excel.",https://services.india.gov.in/service/detail/check-agriculture-commodity-and-market-wise-daily-reports,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
"Seed Grower Registration by Odisha State Seed and Organic Products Certification Agency, Odisha",Fully Online,3.0,"Seed growers of Odisha can register with OSSOPCA (Odisha state seeds and organic product certification agency. ID proof is required which can be anyone from voter ID card, Aadhar number, PAN card, driving license, passport, farmer ID card, BKKY Card, Farm ID Card.",https://services.india.gov.in/service/detail/seed-grower-registration-by-odisha-state-seed-and-organic-products-certification-agency-odisha,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=3,2025-02-17 13:12:03
"Apply for State Level Seed Dealer License from Directorate of Agriculture, Odisha",Fully Online,3.95,"Apply for new state level seed dealership license. The notified authority of this service is Joint Director agriculture, Bhubaneswar, Odisha.",https://services.india.gov.in/service/detail/apply-for-state-level-seed-dealer-license-from-directorate-of-agriculture-odisha-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
PM-KISAN Samman Nidhi,Fully Online,3.0,PM Kisan is a Central Sector scheme with 100% funding from Government of India. The fund will be directly transferred to the bank accounts of the beneficiaries.,https://services.india.gov.in/service/detail/pm-kisan-samman-nidhi-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
Download application form for farmers registration in Kerala,Fully Online,3.55,"Users can get this online form for registration as a farmer in the State of Kerala. You need to fill up this online form with details such as your name, mobile number, email id, Id proof, Municipal Council, etc. Applicant will also have to attach documents with this form.",https://services.india.gov.in/service/detail/download-application-form-for-farmers-registration-in-kerala,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
"Application Form and Documents required for Recognition, Animal Welfare Board of India",Informational,2.95,"Get services for Application Form and Documents required for Recognition, Animal Welfare Board of India",https://services.india.gov.in/service/detail/application-form-and-documents-required-for-recognition-animal-welfare-board-of-india,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
"Application Form for use of Performing Animals in Films/AD Films, Animal Welfare Board of India",Informational,4.0,Get services for Application Form for use of Performing Animals in Films/AD Films (Application fees of Rs. 25000/- is required to be paid) by Animal Welfare Board of India.,https://services.india.gov.in/service/detail/application-form-for-use-of-performing-animals-in-filmsad-films-animal-welfare-board-of-india-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
"Proforma for Pre-Shoot Fitness Certificate - Part-A, Animal Welfare Board of India",Informational,4.0,Get services for Proforma for Pre-Shoot Fitness Certificate - Part-A by Animal Welfare Board of India,https://services.india.gov.in/service/detail/proforma-for-pre-shoot-fitness-certificate-part-a-animal-welfare-board-of-india-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
"Model Authorisation Letter to be provided by the Authorised Signatory, Animal Welfare Board of India",Informational,3.0,Get services for Model Authorisation Letter to be provided by the Authorised Signatory by Animal Welfare Board of India,https://services.india.gov.in/service/detail/model-authorisation-letter-to-be-provided-by-the-authorised-signatory-animal-welfare-board-of-india,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
"NOC for Post-Shoot Fitness Certificate Part-B, Animal Welfare Board of India",Informational,3.0,Get services NOC for Post-Shoot Fitness Certificate Part-B by Animal Welfare Board of India,https://services.india.gov.in/service/detail/noc-for-post-shoot-fitness-certificate-part-b-animal-welfare-board-of-india,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:13
Write back to Animal Welfare Board of India,Fully Online,3.0,"Write back to Animal Welfare Board of India (AWBI). Users can write feedback to the board by filling details such as name, subject, mail id in the online form. Contact details of the Board are also provided.",https://services.india.gov.in/service/detail/write-back-to-animal-welfare-board-of-india,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:14
Check sale and availability of fertilizers,Informational,2.9,"Check availability and sale of fertilizers through fertilizer monitoring system by Department of Fertilizers. Users can get details about urea dispatch, urea sales, decontrolled fertilizer dispatches, decontrolled fertilizer sales, etc. Information about fertilizer companies, dealers, retailers, maximum retail price, concession rates, etc. can also be accessed.",https://services.india.gov.in/service/detail/check-sale-and-availability-of-fertilizers-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=4,2025-02-17 13:12:14
Check agriculture commodity-wise weekly reports of Meghalaya,Fully Online,4.0,"Check agriculture commodity-wise weekly reports online provided by Meghalaya State Agricultural Marketing portal. Users need to select the day, month, and year to view the weekly report of agriculture commodities.",https://services.india.gov.in/service/detail/check-agriculture-commodity-wise-weekly-reports-of-meghalaya,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Check daily agricultural commodity market reports of Meghalaya,Fully Online,4.0,"Check daily reports of agricultural commodities according to markets of Meghalaya online. A calender is provided for users to click on any particular date of any month and year to access the reports of commodities such as rice, vegetables, fruits, pulses, etc.",https://services.india.gov.in/service/detail/check-daily-agricultural-commodity-market-reports-of-meghalaya,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Check weekly reports of state agriculture markets of Meghalaya,Informational,3.0,"Check weekly reports of state agriculture markets provided by the Meghalaya State Agricultural Marketing portal. Users can select the day, month and year to view the weekly reports. Reports contain details of commodities, variety, market, arrival, unit, prices in rupees etc.",https://services.india.gov.in/service/detail/check-weekly-reports-of-state-agriculture-markets-of-meghalaya,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Gujarat : Farmer Certificate,Fully Online,2.65,Applicant may apply online for Farmer Certificate. A Common Services Portal (CSP – Digital Gujarat Portal) is a vision to provide one-stop solution for all Government to Citizens Services for citizens of Gujarat State.,https://services.india.gov.in/service/detail/gujarat--farmer-certificate,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Gujarat: VF6 ENTRY DETAILS,Fully Online,3.25,"Applicant may apply online for VF6 ENTRY DETAILS Click on ""Apply Online” button for filing the form online or ""Download Form"" button for filling the form offline.",https://services.india.gov.in/service/detail/gujarat-vf6-entry-details-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Haryana: Application for Duplicate license to carry on the business of a dealer in seeds,Fully Online,4.0,This service allows to seeds dealer to submit the online application for duplicate License to carry on the business of a dealer in seeds at near by Atal Seva Kendra. This application verified by respective authority and approve or reject the application on the basis of verification.,https://services.india.gov.in/service/detail/haryana-application-for-duplicate-license-to-carry-on-the-business-of-a-dealer-in-seeds-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
"Haryana: Duplicate license for sale, stock or exhibit insecticides through ASK",Fully Online,3.0,"This service allows to dealer to submit the online application for duplicate license for sale, stock or exhibit insecticides in seeds at near by Atal Seva Kendra. This application verified by respective authority and approve or reject the application on the basis of verification.",https://services.india.gov.in/service/detail/haryana-duplicate-license-for-sale-stock-or-exhibit-insecticides-through-ask,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Application for Ex gratia Sanction for Sheep and Goat deaths,Fully Online,4.0,Service is provided in case of death of sheep and goat,https://services.india.gov.in/service/detail/application-for-ex-gratia-sanction-for-sheep-and-goat-deaths,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Online response by Department of Animal Husbandry Rajasthan,Fully Online,3.0,"User can give online feedback by giving the details like name, company name, address, telephone number, E-mail etc.",https://services.india.gov.in/service/detail/online-response-by-department-of-animal-husbandry-rajasthan-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Telangana: Department of Agriculture - Information,Informational,3.9,"The site helps citizens in getting the services of the agriculture department online. Some such services are AGRISNET,OLMS,Vaddileni Runalu (VLR), Soil Health Card. The farmers can log into Farmer's Portal and can make use of the services.",https://services.india.gov.in/service/detail/telangana-department-of-agriculture-information,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=5,2025-02-17 13:12:33
Chhattisgarh: Sericulture - aid under Mulberry plantation,Fully Online,4.0,Check and get information about Sericulture - aid under Mulberry plantation,https://services.india.gov.in/service/detail/chhattisgarh-sericulture-aid-under-mulberry-plantation,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
Department of Animal Husbandry and Veterinary Services of Karnataka,Informational,3.0,"Department of Animal Husbandry and Veterinary Services (AH&VS) of Karnataka provides developmental programmes for cattle, buffalo, piggery, poultry, sheep, goats, etc. Users can get information on schemes like grant-in-aid to the Institute of Animal Health and Veterinary, Insurance scheme to sheep and shepherds, Grassland development and Grass Reserves Scheme, etc. Information regarding fodder development, poultry and piggery development, etc. is given. Get details of district and taluk level diagnostic laboratories, livestock breeding policy, bull calf and frozen semen production centres, etc.",https://services.india.gov.in/service/detail/department-of-animal-husbandry-and-veterinary-services-of-karnataka,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
Check commodity rates in Madhya Pradesh,Fully Online,4.0,"Check online commodity rates in Madhya Pradesh through State Agricultural Marketing Board. Users can get details of modal rate, daily rate and minimum support price.",https://services.india.gov.in/service/detail/check-commodity-rates-in-madhya-pradesh-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
"Apply for Farmer Welfare Services, Karnataka",Fully Online,4.0,"Get services for Farmer Welfare, Karnataka",https://services.india.gov.in/service/detail/apply-for-farmer-welfare-services-karnataka,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
Record Of Rights(ROR),Fully Online,3.95,"Any citizen, business or any entity from across the world can have access to their digital Record of Rights through the portal. For Rural area Citizen - https://anyror.gujarat.gov.in/Info712Page.aspx For Urban Area Citizen - https://e-milkat.gujarat.gov.in/",https://services.india.gov.in/service/detail/record-of-rightsror-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
"Passbook (Land), Gujarat",Fully Online,3.9,"""From this portal, passbook for land holding of the khata holder, for urban and rural areas, for revenue and city survey is available. URL for Urban and Rural area Landbook also provide service hosted link For Rural Area - https://anyror.gujarat.gov.in/Info712Page.aspx For Urban Area - https://e-milkat.gujarat.gov.in/""",https://services.india.gov.in/service/detail/passbook-land-gujarat-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
"Soil Conservation Work and Strenghthening of Soil test Laboratory, Andaman and Nicobar Islands",Fully Online,3.0,Get service Soil Conservation Work and Strenghthening of Soil test Laboratory by Agriculture Department.,https://services.india.gov.in/service/detail/soil-conservation-work-and-strenghthening-of-soil-test-laboratory-andaman-and-nicobar-islands,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
"Assistance to Farmers under High Yielding Programme, Andaman and Nicobar Islands",Fully Online,3.0,Get service for Assistance to Farmers under High Yielding Programme by Agriculture Department.,https://services.india.gov.in/service/detail/assistance-to-farmers-under-high-yielding-programme-andaman-and-nicobar-islands,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
"Development of Minor Irrigation, Andaman and Nicobar Islands",Fully Online,4.0,Get service for Development of Minor Irrigation by Agriculture Department.,https://services.india.gov.in/service/detail/development-of-minor-irrigation-andaman-and-nicobar-islands,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
"Assistance to Farmers for Promotion of Horticulture crops and High Value Agriculture, Andaman and Nicobar Islands",Fully Online,4.0,Get service for Assistance to farmers for promotion of Horticulture crops and High Value by Agriculture Department.,https://services.india.gov.in/service/detail/assistance-to-farmers-for-promotion-of-horticulture-crops-and-high-value-agriculture-andaman-and-nicobar-islands,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=6,2025-02-17 13:12:47
"Gujarat, Collectorate - District Valsad : Approval for industrial purpose as per of Land Revenue Act Section 65-B",Informational,4.0,"Check process for requesting to get the approval for industrial purpose as per Section 65-B of Land Revenue Act from Collector/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-valsad--approval-for-industrial-purpose-as-per-of-land-revenue-act-section-65-b-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
Apply Online for Area Expansion under National Health Mission (NHM) Schemes,Fully Online,4.0,Applicants wants to work on area expansion in agriculture field for that he can use the application for area expansion under National Health Mission (NHM) Schemes(Non- Resident of Andaman can’t apply this service).,https://services.india.gov.in/service/detail/apply-online-for-area-expansion-under-national-health-mission-nhm-schemes,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
"Gujarat, Collectorate - District Sabarkantha : Requesting for government wast land for agriculture purpose by individual (for agricultural purpose / by land office)",Informational,4.0,"Check process for requesting government land in individual cases (for agricultural purpose / land office) from Forest Departments/ District Collectors/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-sabarkantha--requesting-for-government-wast-land-for-agriculture-purpose-by-individual-for-agricultural-purpose--by-land-office-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
"Gujarat, Collectorate - District Sabarkantha : Requesting land for shrimp farms / fish industry",Informational,4.0,"Check process for requesting land demand for shrimp farms / fish industry from Forest Departments/District Collectors/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-sabarkantha--requesting-land-for-shrimp-farms--fish-industry-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
"Gujarat, Collectorate - District Sabarkantha : Requesting for waste government land for agriculture purpose vy co-operative societies",Informational,3.0,"Check process for requesting the co-operative societies for the purpose of farming of government land from Dy. Collector/Land office/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-sabarkantha--requesting-for-waste-government-land-for-agriculture-purpose-vy-co-operative-societies-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
"Gujarat, Collectorate - District Dahod : Requesting matter / issue of being a small / marginal farmer",Informational,3.0,"Check process for requesting matter / issue of being a small / marginal farmer from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-dahod--requesting-matter--issue-of-being-a-small--marginal-farmer-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
"Gujarat, Collectorate - District Kheda : Requesting for exemption from the usage of non agriculture purposes under section-43 of the new condition",Informational,3.0,"Check process for requesting exemption from control for non-determination purposes under section-43 of the new condition from District Collector Office/Municipal Corporation/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-kheda--requesting-for-exemption-from-the-usage-of-non-agriculture-purposes-under-section-43-of-the-new-condition-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
"Gujarat, Collectorate - District Gir Somnath : certificate for Peasantry",Informational,3.0,"Check process for requesting matter of being an agriculturist is to get an example from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-gir-somnath--certificate-for-peasantry-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
"Gujarat, Collectorate - District Gir Somnath : Requesting matter / issue of being a small / marginal farmer",Informational,4.0,"Check process for requesting matter / issue of being a small / marginal farmer from Mamlatdar shree/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-gir-somnath--requesting-matter--issue-of-being-a-small--marginal-farmer-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en&page_no=7,2025-02-17 13:12:55
